 A12W    -21.8200    184.4360     90.5907    0.730210 0.20 0.20   16.542999
 C17W    -21.8200    184.4360     90.5907    0.565398 0.20 0.20   16.163185
 B07W    -21.8200    184.4360     90.5907    0.303667 0.20 0.20   11.673822
  B06    -21.8200    184.4360     90.5907    0.125550 0.20 0.20    9.326823
 C07W    -21.8200    184.4360     90.5907    0.469428 0.20 0.20   12.924343
  B03    -21.8200    184.4360     90.5907    0.034113 0.20 0.20    4.894403
  A05    -21.8200    184.4360     90.5907    0.031905 0.20 0.20   11.414887
 S01W    -21.8200    184.4360     90.5907    0.282715 0.20 0.20    8.462160
  A01    -21.8200    184.4360     90.5907    0.264095 0.20 0.20    4.757113
 A10W    -21.8200    184.4360     90.5907    0.316703 0.20 0.20   15.443326
 PNGI    -19.5786    182.6080    388.9730    0.064580 0.20 0.20    4.926311
  B10    -19.5786    182.6080    388.9730    0.052050 0.20 0.20    9.483997
 LBSA    -19.5786    182.6080    388.9730    0.567178 0.20 0.20    4.938467
 C09W    -19.5786    182.6080    388.9730    0.620958 0.20 0.20    9.515707
 C08W    -19.5786    182.6080    388.9730    0.822987 0.20 0.20    9.503755
 B04W    -19.5786    182.6080    388.9730    0.306149 0.20 0.20    7.328857
 CICA    -19.5786    182.6080    388.9730    0.357429 0.20 0.20    4.923352
  B03    -19.5786    182.6080    388.9730    0.496347 0.20 0.20    6.021293
 N03W    -19.5786    182.6080    388.9730    0.504524 0.20 0.20    9.439096
 TVNI    -19.5786    182.6080    388.9730    0.637978 0.20 0.20    4.931397
 FONI    -19.5786    182.6080    388.9730    0.314027 0.20 0.20    4.924264
  B12    -20.6738    184.0690    201.9000    0.822470 0.20 0.20   13.179099
 A02W    -20.6738    184.0690    201.9000    0.121101 0.20 0.20    7.318644
 C05W    -20.6738    184.0690    201.9000    0.195680 0.20 0.20   11.311788
  A03    -20.6738    184.0690    201.9000    0.187621 0.20 0.20    9.049261
 EUAP    -20.6738    184.0690    201.9000    0.293151 0.20 0.20    4.850863
 TNGA    -20.6738    184.0690    201.9000    0.049808 0.20 0.20    5.174103
 C01W    -20.6738    184.0690    201.9000    0.124911 0.20 0.20    5.167589
  C06    -20.6738    184.0690    201.9000    0.467629 0.20 0.20   13.302812
 C08W    -20.6738    184.0690    201.9000    0.477519 0.20 0.20   13.302252
 C03W    -20.6738    184.0690    201.9000    0.676693 0.20 0.20    9.025407
 C10W    -20.6738    184.0690    201.9000    0.698025 0.20 0.20   13.341962
