11_52140  B03  -21.1880  -176.2620  212.6420  0.335172  0.002982  0.026351  9.58
11_52140  C03W  -21.1880  -176.2620  212.6420  0.326720  0.002616  0.024163  11.26
11_52140  PNGI  -21.1880  -176.2620  212.6420  0.145307  0.002003  0.020422  3.51
11_52140  B04W  -21.1880  -176.2620  212.6420  0.384482  0.003064  0.027083  11.13
11_52140  B06  -21.1880  -176.2620  212.6420  0.382657  0.003337  0.029265  11.19
11_52140  C16W  -21.1880  -176.2620  212.6420  0.365524  0.002907  0.028347  12.34
11_52140  EUAP  -21.1880  -176.2620  212.6420  0.084540  0.001986  0.021276  2.56
11_52148  B13  -20.5166  -177.2750  462.3140  0.407339  0.005766  0.046663  6.97
11_52148  C08W  -20.5166  -177.2750  462.3140  0.480550  0.005386  0.042674  8.28
11_52148  C01W  -20.5166  -177.2750  462.3140  0.226913  0.002620  0.025228  3.68
11_52148  C05W  -20.5166  -177.2750  462.3140  0.467328  0.004532  0.034846  8.00
11_52148  C09W  -20.5166  -177.2750  462.3140  0.371820  0.005049  0.037160  6.45
11_52148  A14W  -20.5166  -177.2750  462.3140  0.269772  0.002845  0.025616  4.76
11_52148  B03  -20.5166  -177.2750  462.3140  0.389999  0.008183  0.049555  6.33
11_52148  C03W  -20.5166  -177.2750  462.3140  0.422140  0.003330  0.029248  7.13
11_52148  B05W  -20.5166  -177.2750  462.3140  0.366921  0.004664  0.037039  6.08
11_52148  VAVP  -20.5166  -177.2750  462.3140  0.089859  0.002635  0.024677  1.24
11_52148  B12  -20.5166  -177.2750  462.3140  0.447233  0.005288  0.041442  7.67
11_52148  N01W  -20.5166  -177.2750  462.3140  0.401488  0.004925  0.039706  6.31
11_52153  B02  -20.5617  -175.1690  100.1970  0.223117  0.002404  0.024314  13.76
11_52153  C08W  -20.5617  -175.1690  100.1970  0.315471  0.002974  0.027852  16.05
11_52153  C05W  -20.5617  -175.1690  100.1970  0.228568  0.002413  0.023933  12.80
11_52153  A02W  -20.5617  -175.1690  100.1970  0.140842  0.002424  0.023497  6.62
11_52153  C10W  -20.5617  -175.1690  100.1970  0.299032  0.003063  0.028212  14.77
11_52153  C06  -20.5617  -175.1690  100.1970  0.237714  0.002424  0.023497  12.18
11_52153  C03W  -20.5617  -175.1690  100.1970  0.210248  0.002427  0.023392  12.51
11_52153  A08W  -20.5617  -175.1690  100.1970  0.306908  0.004020  0.035008  11.92
11_52156  B02  -20.6386  -177.5990  482.8180  0.356606  0.006151  0.040028  5.40
11_52156  C05W  -20.6386  -177.5990  482.8180  0.482777  0.005592  0.037563  7.89
11_52156  B03  -20.6386  -177.5990  482.8180  0.390593  0.004052  0.029937  6.04
11_52156  EUAP  -20.6386  -177.5990  482.8180  0.106866  0.002886  0.023447  1.59
11_52156  PNGI  -20.6386  -177.5990  482.8180  0.140075  0.002898  0.023113  1.99
11_52156  B04W  -20.6386  -177.5990  482.8180  0.448896  0.006014  0.039048  7.02
11_52159  A05  -21.4259  -176.2280  195.2080  0.377900  0.003116  0.025303  14.83
11_52159  C08W  -21.4259  -176.2280  195.2080  0.488981  0.003856  0.030733  16.15
11_52159  S01W  -21.4259  -176.2280  195.2080  0.313146  0.001901  0.018688  11.59
11_52159  C05W  -21.4259  -176.2280  195.2080  0.424235  0.003767  0.028387  14.99
11_52159  A02W  -21.4259  -176.2280  195.2080  0.259889  0.001864  0.018466  9.87
11_52159  C10W  -21.4259  -176.2280  195.2080  0.484783  0.004694  0.034642  17.89
11_52159  A03  -21.4259  -176.2280  195.2080  0.340212  0.002573  0.022993  13.10
11_52159  C06  -21.4259  -176.2280  195.2080  0.374689  0.003284  0.025662  14.14
11_52159  C03W  -21.4259  -176.2280  195.2080  0.313810  0.002927  0.023945  11.45
11_52159  A06W  -21.4259  -176.2280  195.2080  0.389860  0.003267  0.027626  15.28
11_52159  PNGI  -21.4259  -176.2280  195.2080  0.131849  0.001861  0.018604  3.14
11_52159  B05W  -21.4259  -176.2280  195.2080  0.375919  0.003349  0.027810  10.80
